[2024-03-04 01:09:51,406] : Round: 131, Max accuracy: 0.00%, Current accuracy: 65.60%
[2024-03-04 01:10:01,544] : Round: 132, Max accuracy: 0.00%, Current accuracy: 68.64%
[2024-03-04 01:10:15,752] : Round: 133, Max accuracy: 0.00%, Current accuracy: 64.65%
[2024-03-04 01:10:20,473] : Round: 134, Max accuracy: 0.00%, Current accuracy: 61.74%
[2024-03-04 01:10:37,417] : Round: 135, Max accuracy: 0.00%, Current accuracy: 57.58%
[2024-03-04 01:10:43,730] : Round: 136, Max accuracy: 0.00%, Current accuracy: 54.72%
[2024-03-04 01:10:45,743] : Round: 137, Max accuracy: 0.00%, Current accuracy: 54.59%
[2024-03-04 01:11:01,896] : Round: 138, Max accuracy: 0.00%, Current accuracy: 56.00%
[2024-03-04 01:11:05,903] : Round: 139, Max accuracy: 0.00%, Current accuracy: 57.20%
[2024-03-04 01:11:07,851] : Round: 140, Max accuracy: 0.00%, Current accuracy: 61.09%
[2024-03-04 01:11:23,694] : Round: 141, Max accuracy: 0.00%, Current accuracy: 64.11%
[2024-03-04 01:11:27,810] : Round: 142, Max accuracy: 0.00%, Current accuracy: 63.88%
[2024-03-04 01:11:50,168] : Round: 143, Max accuracy: 0.00%, Current accuracy: 64.33%
[2024-03-04 01:11:58,148] : Round: 144, Max accuracy: 0.00%, Current accuracy: 69.12%
[2024-03-04 01:12:13,869] : Round: 145, Max accuracy: 0.00%, Current accuracy: 66.00%
[2024-03-04 01:12:18,090] : Round: 146, Max accuracy: 0.00%, Current accuracy: 62.24%
[2024-03-04 01:12:24,342] : Round: 147, Max accuracy: 0.00%, Current accuracy: 63.64%
[2024-03-04 01:12:39,588] : Round: 148, Max accuracy: 0.00%, Current accuracy: 62.55%
[2024-03-04 01:12:41,517] : Round: 149, Max accuracy: 0.00%, Current accuracy: 58.74%
[2024-03-04 01:12:54,043] : Round: 150, Max accuracy: 0.00%, Current accuracy: 60.81%
[2024-03-04 01:12:59,295] : Round: 151, Max accuracy: 0.00%, Current accuracy: 63.79%
[2024-03-04 01:13:15,782] : Round: 152, Max accuracy: 0.00%, Current accuracy: 62.80%
[2024-03-04 01:13:19,309] : Round: 153, Max accuracy: 0.00%, Current accuracy: 65.56%
[2024-03-04 01:13:21,825] : Round: 154, Max accuracy: 0.00%, Current accuracy: 67.63%
[2024-03-04 01:13:36,954] : Round: 155, Max accuracy: 0.00%, Current accuracy: 67.63%
[2024-03-04 01:13:44,212] : Round: 156, Max accuracy: 0.00%, Current accuracy: 66.38%
[2024-03-04 01:13:46,208] : Round: 157, Max accuracy: 0.00%, Current accuracy: 66.13%
[2024-03-04 01:13:59,043] : Round: 158, Max accuracy: 0.00%, Current accuracy: 62.66%
[2024-03-04 01:14:18,618] : Round: 159, Max accuracy: 0.00%, Current accuracy: 58.64%
[2024-03-04 01:14:22,028] : Round: 160, Max accuracy: 0.00%, Current accuracy: 56.47%
[2024-03-04 01:14:24,061] : Round: 161, Max accuracy: 0.00%, Current accuracy: 56.76%
[2024-03-04 01:14:41,814] : Round: 162, Max accuracy: 0.00%, Current accuracy: 54.42%
[2024-03-04 01:14:43,755] : Round: 163, Max accuracy: 0.00%, Current accuracy: 55.83%
[2024-03-04 01:15:04,078] : Round: 164, Max accuracy: 0.00%, Current accuracy: 57.78%
[2024-03-04 01:15:07,289] : Round: 165, Max accuracy: 0.00%, Current accuracy: 57.14%
[2024-03-04 01:15:28,794] : Round: 166, Max accuracy: 0.00%, Current accuracy: 56.56%
[2024-03-04 01:15:30,923] : Round: 167, Max accuracy: 0.00%, Current accuracy: 55.41%
[2024-03-04 01:15:53,555] : Round: 168, Max accuracy: 0.00%, Current accuracy: 54.34%
[2024-03-04 01:15:55,564] : Round: 169, Max accuracy: 0.00%, Current accuracy: 56.58%
[2024-03-04 01:15:57,541] : Round: 170, Max accuracy: 0.00%, Current accuracy: 58.66%
[2024-03-04 01:16:13,336] : Round: 171, Max accuracy: 0.00%, Current accuracy: 61.08%
[2024-03-04 01:16:21,359] : Round: 172, Max accuracy: 0.00%, Current accuracy: 63.39%
[2024-03-04 01:16:23,441] : Round: 173, Max accuracy: 0.00%, Current accuracy: 67.79%
[2024-03-04 01:16:43,998] : Round: 174, Max accuracy: 0.00%, Current accuracy: 64.90%
[2024-03-04 01:16:46,033] : Round: 175, Max accuracy: 0.00%, Current accuracy: 64.51%
[2024-03-04 01:16:47,912] : Round: 176, Max accuracy: 0.00%, Current accuracy: 62.37%
[2024-03-04 01:17:06,321] : Round: 177, Max accuracy: 0.00%, Current accuracy: 60.96%
[2024-03-04 01:17:08,364] : Round: 178, Max accuracy: 0.00%, Current accuracy: 58.57%
[2024-03-04 01:17:10,410] : Round: 179, Max accuracy: 0.00%, Current accuracy: 61.23%
[2024-03-04 01:17:29,377] : Round: 180, Max accuracy: 0.00%, Current accuracy: 64.06%
[2024-03-04 01:17:33,038] : Round: 181, Max accuracy: 0.00%, Current accuracy: 67.05%
[2024-03-04 01:17:40,008] : Round: 182, Max accuracy: 0.00%, Current accuracy: 66.37%
[2024-03-04 01:17:52,138] : Round: 183, Max accuracy: 0.00%, Current accuracy: 68.59%
[2024-03-04 01:18:04,399] : Round: 184, Max accuracy: 0.00%, Current accuracy: 65.09%
[2024-03-04 01:18:13,889] : Round: 185, Max accuracy: 0.00%, Current accuracy: 63.45%
[2024-03-04 01:18:15,931] : Round: 186, Max accuracy: 0.00%, Current accuracy: 58.84%
[2024-03-04 01:18:26,185] : Round: 187, Max accuracy: 0.00%, Current accuracy: 59.83%
[2024-03-04 01:18:35,020] : Round: 188, Max accuracy: 0.00%, Current accuracy: 55.95%
[2024-03-04 01:18:53,982] : Round: 189, Max accuracy: 0.00%, Current accuracy: 60.16%
[2024-03-04 01:19:09,535] : Round: 190, Max accuracy: 0.00%, Current accuracy: 59.81%
[2024-03-04 01:19:11,535] : Round: 191, Max accuracy: 0.00%, Current accuracy: 62.58%
[2024-03-04 01:19:19,113] : Round: 192, Max accuracy: 0.00%, Current accuracy: 63.65%
[2024-03-04 01:19:29,212] : Round: 193, Max accuracy: 0.00%, Current accuracy: 66.13%
[2024-03-04 01:19:45,666] : Round: 194, Max accuracy: 0.00%, Current accuracy: 65.91%
[2024-03-04 01:19:47,689] : Round: 195, Max accuracy: 0.00%, Current accuracy: 68.38%
[2024-03-04 01:19:51,301] : Round: 196, Max accuracy: 0.00%, Current accuracy: 65.49%
[2024-03-04 01:20:07,102] : Round: 197, Max accuracy: 0.00%, Current accuracy: 65.52%
[2024-03-04 01:20:09,347] : Round: 198, Max accuracy: 0.00%, Current accuracy: 64.72%
[2024-03-04 01:20:13,903] : Round: 199, Max accuracy: 0.00%, Current accuracy: 64.30%
[2024-03-04 01:20:29,347] : Round: 200, Max accuracy: 0.00%, Current accuracy: 60.67%
[2024-03-04 01:20:31,555] : Round: 201, Max accuracy: 0.00%, Current accuracy: 63.59%
[2024-03-04 01:20:35,997] : Round: 202, Max accuracy: 0.00%, Current accuracy: 64.58%
[2024-03-04 01:20:50,515] : Round: 203, Max accuracy: 0.00%, Current accuracy: 66.23%
[2024-03-04 01:21:00,907] : Round: 204, Max accuracy: 0.00%, Current accuracy: 65.30%
[2024-03-04 01:21:02,979] : Round: 205, Max accuracy: 0.00%, Current accuracy: 66.53%
[2024-03-04 01:21:11,849] : Round: 206, Max accuracy: 0.00%, Current accuracy: 66.60%
